epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.8903186321258545	0.3168666958808899	0.9988916516304016	0.7058823704719543	0.022058824077248573	0.9000544548034668	0.2921702265739441	0.9985023140907288	0.9019607901573181	0.11274509876966476
1	0.9037309288978577	0.2722371220588684	0.994854211807251	0.8079096078872681	0.17524509131908417	0.905773401260376	0.285664439201355	0.9948691725730896	0.8229166865348816	0.19362744688987732
2	0.9123774766921997	0.2320411652326584	0.9928855299949646	0.8236397504806519	0.26899510622024536	0.9016884565353394	0.294799268245697	0.9825751781463623	0.6441717743873596	0.25735294818878174
3	0.9337554574012756	0.17124436795711517	0.9924522638320923	0.8844807744026184	0.4644607901573181	0.8924291729927063	0.33594420552253723	0.970092236995697	0.5308057069778442	0.27450981736183167
4	0.9669798612594604	0.10070276260375977	0.9942960143089294	0.9421742558479309	0.748774528503418	0.8853485584259033	0.4314690828323364	0.959574282169342	0.4745098054409027	0.2965686321258545
5	0.984000563621521	0.054682210087776184	0.9959709048271179	0.9647371768951416	0.8884803652763367	0.8630174398422241	0.5031986832618713	0.9254554510116577	0.380352646112442	0.3700980246067047
6	0.9783496856689453	0.057207491248846054	0.9926820397377014	0.9362549781799316	0.8639705777168274	0.8366013169288635	0.5207605957984924	0.8862379789352417	0.3273381292819977	0.44607841968536377
7	0.9837282299995422	0.04625064134597778	0.9932870864868164	0.9444798827171326	0.906862735748291	0.898692786693573	0.693411648273468	0.9860273599624634	0.640625	0.20098039507865906
8	0.9905365109443665	0.02976619079709053	0.996399462223053	0.9703843593597412	0.9436274766921997	0.9003267884254456	0.7438811659812927	0.986958384513855	0.6640625	0.2083333283662796
9	0.9928513169288635	0.02339639887213707	0.9971195459365845	0.976889431476593	0.9583333134651184	0.8951525092124939	0.6991181969642639	0.9715132117271423	0.5545023679733276	0.2867647111415863
10	0.9938044548034668	0.01910148561000824	0.997499942779541	0.9794648289680481	0.9644607901573181	0.8643791079521179	0.6773144006729126	0.9237987399101257	0.39024388790130615	0.3921568691730499
11	0.9971405267715454	0.01079731248319149	0.9986971616744995	0.9895319938659668	0.9846813678741455	0.8747276663780212	0.7268075942993164	0.9431256651878357	0.4197530746459961	0.3333333432674408
12	0.9993191957473755	0.00500635476782918	0.9997698068618774	0.998157262802124	0.9957107901573181	0.8839869499206543	0.8166331648826599	0.9548314809799194	0.46739131212234497	0.31617647409439087
13	0.9997276663780212	0.0025998714845627546	0.9999223947525024	0.9993864893913269	0.998161792755127	0.8799019455909729	0.8469496965408325	0.9518625140190125	0.4421052634716034	0.30882352590560913
14	0.999863862991333	0.0018149715615436435	0.9999237060546875	0.999387264251709	0.999387264251709	0.8834422826766968	0.8944724202156067	0.9569600224494934	0.46212121844291687	0.29901960492134094
15	1.0	0.001012612716294825	1.0	1.0	1.0	0.8948801755905151	0.9973454475402832	0.9723770022392273	0.5539215803146362	0.2769607901573181
16	1.0	0.00035029981518164277	1.0	1.0	1.0	0.8940631747245789	1.011260747909546	0.9696688055992126	0.543379008769989	0.2916666567325592
17	1.0	0.00014812644803896546	1.0	1.0	1.0	0.8910675644874573	1.0087714195251465	0.9651312232017517	0.5168067216873169	0.3014705777168274
18	1.0	0.00010944987297989428	1.0	1.0	1.0	0.8910675644874573	1.0265389680862427	0.9651312232017517	0.5168067216873169	0.3014705777168274
19	1.0	8.896473445929587e-05	1.0	1.0	1.0	0.89161217212677	1.0427360534667969	0.9651030898094177	0.5208333134651184	0.3063725531101227
20	1.0	7.438097964040935e-05	1.0	1.0	1.0	0.891339898109436	1.0582009553909302	0.9651030898094177	0.5188284516334534	0.30392158031463623
21	1.0	6.32496303296648e-05	1.0	1.0	1.0	0.8918845057487488	1.0727875232696533	0.9656827449798584	0.5232067704200745	0.30392158031463623
22	1.0	5.4384287068387493e-05	1.0	1.0	1.0	0.89161217212677	1.0866241455078125	0.9659851789474487	0.5213675498962402	0.29901960492134094
23	1.0	4.714239184977487e-05	1.0	1.0	1.0	0.8918845057487488	1.0997740030288696	0.9662930965423584	0.5236051678657532	0.29901960492134094
24	1.0	4.1068007703870535e-05	1.0	1.0	1.0	0.8924291729927063	1.1124346256256104	0.9668928384780884	0.5281385183334351	0.29901960492134094
25	1.0	3.5889966966351494e-05	1.0	1.0	1.0	0.8932461738586426	1.1250066757202148	0.9674941301345825	0.5347825884819031	0.3014705777168274
26	1.0	3.1457471777684987e-05	1.0	1.0	1.0	0.8935185074806213	1.137294054031372	0.9677913188934326	0.5371178984642029	0.3014705777168274
27	1.0	2.765978751995135e-05	1.0	1.0	1.0	0.8937908411026001	1.1491329669952393	0.9680740237236023	0.5394737124443054	0.3014705777168274
28	1.0	2.4338643925148062e-05	1.0	1.0	1.0	0.8935185074806213	1.1610984802246094	0.9677817225456238	0.5371178984642029	0.3014705777168274
29	1.0	2.144396785297431e-05	1.0	1.0	1.0	0.8937908411026001	1.1725916862487793	0.9680740237236023	0.5394737124443054	0.3014705777168274
30	1.0	1.8921331502497196e-05	1.0	1.0	1.0	0.8940631747245789	1.184103012084961	0.9683818817138672	0.541850209236145	0.3014705777168274
31	1.0	1.670945312071126e-05	1.0	1.0	1.0	0.8937908411026001	1.1958801746368408	0.9680895805358887	0.5394737124443054	0.3014705777168274
32	1.0	1.4764788829779718e-05	1.0	1.0	1.0	0.8935185074806213	1.2070389986038208	0.9677871465682983	0.5371178984642029	0.3014705777168274
33	1.0	1.3055334420641884e-05	1.0	1.0	1.0	0.8932461738586426	1.2183926105499268	0.9674846529960632	0.5347825884819031	0.3014705777168274
34	1.0	1.1543281289050356e-05	1.0	1.0	1.0	0.8932461738586426	1.2295935153961182	0.9674949049949646	0.5347825884819031	0.3014705777168274
35	1.0	1.0214886970061343e-05	1.0	1.0	1.0	0.8932461738586426	1.2409216165542603	0.9674949049949646	0.5347825884819031	0.3014705777168274
36	1.0	9.040922122949269e-06	1.0	1.0	1.0	0.8932461738586426	1.2519644498825073	0.9677973985671997	0.5350877046585083	0.29901960492134094
37	1.0	8.002321919775568e-06	1.0	1.0	1.0	0.8932461738586426	1.2631571292877197	0.9677973985671997	0.5350877046585083	0.29901960492134094
38	1.0	7.076264864736004e-06	1.0	1.0	1.0	0.8935185074806213	1.2746162414550781	0.9680895805358887	0.5374449491500854	0.29901960492134094
39	1.0	6.256187134567881e-06	1.0	1.0	1.0	0.8937908411026001	1.2860407829284668	0.9684030413627625	0.5398229956626892	0.29901960492134094
40	1.0	5.530518592422595e-06	1.0	1.0	1.0	0.8937908411026001	1.2972077131271362	0.9684030413627625	0.5398229956626892	0.29901960492134094
41	1.0	4.888787316303933e-06	1.0	1.0	1.0	0.8937908411026001	1.3085836172103882	0.9684030413627625	0.5398229956626892	0.29901960492134094
42	1.0	4.315133537602378e-06	1.0	1.0	1.0	0.8937908411026001	1.320226788520813	0.9684030413627625	0.5398229956626892	0.29901960492134094
43	1.0	3.8111757021397352e-06	1.0	1.0	1.0	0.8935185074806213	1.3318120241165161	0.9684030413627625	0.5377777814865112	0.2965686321258545
44	1.0	3.363960558999679e-06	1.0	1.0	1.0	0.8935185074806213	1.3431522846221924	0.9684030413627625	0.5377777814865112	0.2965686321258545
45	1.0	2.970681862279889e-06	1.0	1.0	1.0	0.8937908411026001	1.3549290895462036	0.9687003493309021	0.5401785969734192	0.2965686321258545
46	1.0	2.6212039756501326e-06	1.0	1.0	1.0	0.8935185074806213	1.3664710521697998	0.9687003493309021	0.5381165742874146	0.29411765933036804
47	1.0	2.3140269149735104e-06	1.0	1.0	1.0	0.8932461738586426	1.3781993389129639	0.9683924913406372	0.5357142686843872	0.29411765933036804
48	1.0	2.042101414190256e-06	1.0	1.0	1.0	0.8935185074806213	1.3897583484649658	0.9687240123748779	0.5381165742874146	0.29411765933036804
49	1.0	1.802937731554266e-06	1.0	1.0	1.0	0.8935185074806213	1.401416540145874	0.9687240123748779	0.5381165742874146	0.29411765933036804
