epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.7596113681793213	1.0306990146636963	0.7698487639427185	0.18837395310401917	0.6363022923469543	0.7585126161575317	0.9871300458908081	0.7673714756965637	0.1895734667778015	0.6486486196517944
1	0.8376514911651611	0.855869710445404	0.8504254817962646	0.27762582898139954	0.6848852634429932	0.754961371421814	0.984125018119812	0.7625442743301392	0.18948182463645935	0.662162184715271
2	0.866798996925354	0.7235562205314636	0.8756062984466553	0.3392534554004669	0.7604588270187378	0.7526634931564331	1.002676010131836	0.761073887348175	0.18547140061855316	0.6486486196517944
3	0.898297131061554	0.5406007170677185	0.9015008807182312	0.4230387210845947	0.862348198890686	0.7679131031036377	1.092236042022705	0.7799596786499023	0.19150707125663757	0.6216216087341309
4	0.9353322386741638	0.333350270986557	0.9344339966773987	0.5475819110870361	0.9473684430122375	0.8493837714195251	1.4449913501739502	0.8759756684303284	0.2650602459907532	0.5351351499557495
5	0.9566443562507629	0.20690374076366425	0.9547407031059265	0.6447601914405823	0.9797570705413818	0.8583664298057556	1.808377742767334	0.8853608965873718	0.28186967968940735	0.5378378629684448
6	0.958629310131073	0.1967426836490631	0.9571591019630432	0.6563916802406311	0.9770580530166626	0.7520367503166199	1.6091859340667725	0.7617577910423279	0.1825951784849167	0.6351351141929626
7	0.959674060344696	0.18405988812446594	0.9596863985061646	0.6657329797744751	0.9622132182121277	0.8253603577613831	1.8535466194152832	0.847739577293396	0.23462414741516113	0.5567567348480225
8	0.9686063528060913	0.1393885612487793	0.9678189158439636	0.7183936834335327	0.97773277759552	0.8922080397605896	2.4183413982391357	0.9256418943405151	0.35686275362968445	0.49189189076423645
9	0.9762849807739258	0.11196385324001312	0.9758256077766418	0.7725344896316528	0.983130931854248	0.8683935403823853	2.31772518157959	0.8973685503005981	0.2981366515159607	0.5189189314842224
10	0.9855829477310181	0.07683873176574707	0.9852163791656494	0.8485549092292786	0.9905533194541931	0.8541884422302246	2.3459346294403076	0.8792014718055725	0.2777777910232544	0.5540540814399719
11	0.9952988028526306	0.033706456422805786	0.9950588941574097	0.9444444179534912	0.9979757070541382	0.8723626732826233	2.8530359268188477	0.9011846780776978	0.30903327465057373	0.5270270109176636
12	0.9974404573440552	0.020574301481246948	0.997212827205658	0.967994749546051	1.0	0.9306455254554749	4.583598613739014	0.9729165434837341	0.568345308303833	0.42702701687812805
13	0.9975971579551697	0.016490181908011436	0.997515857219696	0.9711285829544067	0.9986504912376404	0.932734489440918	5.198519229888916	0.9760684967041016	0.5923076868057251	0.4162162244319916
14	0.9981717467308044	0.011759760789573193	0.9980550408363342	0.976928174495697	1.0	0.9344056844711304	5.564873695373535	0.9783697724342346	0.6129032373428345	0.41081079840660095
15	0.9987986087799072	0.009752617217600346	0.9988128542900085	0.9860092997550964	0.9986504912376404	0.9352412819862366	5.871971607208252	0.9805938601493835	0.6293103694915771	0.39459457993507385
16	0.9992687106132507	0.007076217792928219	0.9992846846580505	0.9912985563278198	0.9993252158164978	0.9308543801307678	5.69320821762085	0.9751943945884705	0.5752895474433899	0.4027026891708374
17	0.9995298981666565	0.004744893405586481	0.9994990229606628	0.9939637780189514	1.0	0.9310632944107056	5.989932537078857	0.9757428169250488	0.578125	0.4000000059604645
18	0.9999477863311768	0.0010879141045734286	0.9999434351921082	0.999325692653656	1.0	0.9312722086906433	6.093257427215576	0.9759731888771057	0.5803921818733215	0.4000000059604645
19	1.0	0.00048547174083068967	1.0	1.0	1.0	0.9310632944107056	6.1800055503845215	0.9757169485092163	0.578125	0.4000000059604645
20	1.0	0.0003560839395504445	1.0	1.0	1.0	0.9310632944107056	6.280150890350342	0.9759320020675659	0.5787401795387268	0.39729729294776917
21	1.0	0.00027997823781333864	1.0	1.0	1.0	0.931481122970581	6.3613152503967285	0.9763802289962769	0.5833333134651184	0.39729729294776917
22	1.0	0.0002261802728753537	1.0	1.0	1.0	0.9321078062057495	6.430679798126221	0.9770739674568176	0.5903614163398743	0.39729729294776917
23	1.0	0.00018555230053607374	1.0	1.0	1.0	0.9323167204856873	6.498026371002197	0.9772547483444214	0.5927419066429138	0.39729729294776917
24	1.0	0.0001535455958219245	1.0	1.0	1.0	0.9323167204856873	6.557404518127441	0.9772547483444214	0.5927419066429138	0.39729729294776917
25	1.0	0.0001281481672776863	1.0	1.0	1.0	0.932734489440918	6.615224361419678	0.9772547483444214	0.5960000157356262	0.4027026891708374
26	1.0	0.0001072101149475202	1.0	1.0	1.0	0.9331522583961487	6.6675496101379395	0.9777202606201172	0.600806474685669	0.4027026891708374
27	1.0	9.002407023217529e-05	1.0	1.0	1.0	0.9333611726760864	6.718993663787842	0.9779425263404846	0.6032388806343079	0.4027026891708374
28	1.0	7.569639274151996e-05	1.0	1.0	1.0	0.9335700869560242	6.766801357269287	0.9781575798988342	0.6056910753250122	0.4027026891708374
29	1.0	6.370119081111625e-05	1.0	1.0	1.0	0.9335700869560242	6.810709476470947	0.9781575798988342	0.6056910753250122	0.4027026891708374
30	1.0	5.366773621062748e-05	1.0	1.0	1.0	0.9333611726760864	6.854394912719727	0.9781575798988342	0.6040816307067871	0.4000000059604645
31	1.0	4.51451342087239e-05	1.0	1.0	1.0	0.9333611726760864	6.8954949378967285	0.9781575798988342	0.6040816307067871	0.4000000059604645
32	1.0	3.8021164073143154e-05	1.0	1.0	1.0	0.9333611726760864	6.937572002410889	0.9783725738525391	0.604938268661499	0.39729729294776917
33	1.0	3.1920993933454156e-05	1.0	1.0	1.0	0.9333611726760864	6.976897239685059	0.9783725738525391	0.604938268661499	0.39729729294776917
