epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.6764176487922668	0.5968257784843445	0.15290050208568573	0.6895522475242615	0.9358541369438171	0.6996402740478516	0.531696081161499	0.1765250563621521	0.6976743936538696	0.9703503847122192
1	0.7524752616882324	0.4693852365016937	0.4980182647705078	0.7816091775894165	0.8723835349082947	0.7374100685119629	0.49697864055633545	0.4157838225364685	0.7516778707504272	0.9056603908538818
2	0.8091809153556824	0.3976229727268219	0.6572264432907104	0.8411878347396851	0.8798109292984009	0.7140287756919861	0.5051588416099548	0.4347135126590729	0.748826265335083	0.8598382472991943
3	0.8636363744735718	0.3383018970489502	0.7712795734405518	0.8916223645210266	0.9054692983627319	0.7284172773361206	0.5231229066848755	0.4602525532245636	0.761904776096344	0.862533688545227
4	0.8978397846221924	0.2771928310394287	0.8298629522323608	0.9185580611228943	0.9291019439697266	0.7284172773361206	0.5577962398529053	0.47880327701568604	0.7669903039932251	0.8517520427703857
5	0.937443733215332	0.20855066180229187	0.9047918319702148	0.9546070694923401	0.9513841867446899	0.7176259160041809	0.6117829084396362	0.4666425287723541	0.7597087621688843	0.8436657786369324
6	0.9689468741416931	0.1405598372220993	0.9613649845123291	0.981582522392273	0.9716407656669617	0.7068345546722412	0.7164760828018188	0.389107346534729	0.7385321259498596	0.8679245114326477
7	0.9869486689567566	0.08951354771852493	0.9857392311096191	0.9938775300979614	0.9864956140518188	0.6978417038917542	0.9972347617149353	0.23717480897903442	0.7084189057350159	0.9299191236495972
8	0.9882988333702087	0.07980754971504211	0.9805208444595337	0.9912221431732178	0.9912221431732178	0.6888489127159119	1.4335371255874634	0.10297214984893799	0.6867924332618713	0.9811320900917053
9	0.916741669178009	0.16953518986701965	0.8592839241027832	0.9325767755508423	0.9432815909385681	0.7050359845161438	0.7169169187545776	0.7158628106117249	0.8285714387893677	0.7035040259361267
10	0.978847861289978	0.07580819725990295	0.949142575263977	0.9779999852180481	0.9905469417572021	0.6996402740478516	0.8186115026473999	0.5542410016059875	0.7756756544113159	0.7735849022865295
11	0.999549925327301	0.021741339936852455	1.0	1.0	0.9993247985839844	0.7050359845161438	0.9291645288467407	0.45594167709350586	0.7530562281608582	0.8301886916160583
12	1.0	0.010991414077579975	1.0	1.0	1.0	0.701438844203949	0.9687495827674866	0.5624173879623413	0.779291570186615	0.7708894610404968
13	1.0	0.008565789088606834	1.0	1.0	1.0	0.7050359845161438	1.0303882360458374	0.6357638835906982	0.8017492890357971	0.7412399053573608
14	1.0	0.00747000053524971	1.0	1.0	1.0	0.7032374143600464	1.088504433631897	0.670963704586029	0.8121212124824524	0.7223719954490662
15	1.0	0.006407073233276606	1.0	1.0	1.0	0.6780575513839722	1.1583679914474487	0.7008935213088989	0.8157894611358643	0.6684635877609253
16	1.0	0.005776277277618647	1.0	1.0	1.0	0.681654691696167	1.2269129753112793	0.7453565001487732	0.834482729434967	0.6522911190986633
17	1.0	0.005256436765193939	1.0	1.0	1.0	0.6672661900520325	1.2866944074630737	0.7453565001487732	0.8297872543334961	0.6307277679443359
18	1.0	0.0049262153916060925	1.0	1.0	1.0	0.6636690497398376	1.332379698753357	0.7571834921836853	0.8333333134651184	0.6199460625648499
19	1.0	0.004680509213358164	1.0	1.0	1.0	0.6636690497398376	1.3497304916381836	0.7518924474716187	0.8309352397918701	0.6226415038108826
20	1.0	0.004514888860285282	1.0	1.0	1.0	0.6726618409156799	1.3514066934585571	0.7325160503387451	0.8269895911216736	0.64420485496521
21	1.0	0.004273421596735716	1.0	1.0	1.0	0.685251772403717	1.3226420879364014	0.7146132588386536	0.8245033025741577	0.671159029006958
22	1.0	0.004038427956402302	1.0	1.0	1.0	0.7050359845161438	1.2866591215133667	0.6950700283050537	0.822429895401001	0.7115902900695801
23	1.0	0.003722467226907611	1.0	1.0	1.0	0.6996402740478516	1.2484427690505981	0.6165861487388611	0.7914285659790039	0.7466307282447815
24	1.0	0.0032675275579094887	1.0	1.0	1.0	0.7122302055358887	1.250131368637085	0.5268641710281372	0.7740259766578674	0.8032345175743103
25	1.0	0.002331699477508664	1.0	1.0	1.0	0.7230215668678284	1.3634507656097412	0.4458078145980835	0.7565011978149414	0.862533688545227
26	1.0	0.0009429485653527081	1.0	1.0	1.0	0.7230215668678284	1.328352928161621	0.4664500653743744	0.7614457607269287	0.8517520427703857
