epoch	accuracy	loss	neg_recall	precision	recall	val_accuracy	val_loss	val_neg_recall	val_precision	val_recall
0	0.9053995013237	0.28033095598220825	0.9950322508811951	0.1818181872367859	0.011472275480628014	0.9151599407196045	0.2520124912261963	0.9981056451797485	0.8148148059844971	0.08429118990898132
1	0.921137273311615	0.22367297112941742	0.9943309426307678	0.7704280018806458	0.1892925500869751	0.9186369776725769	0.24565695226192474	0.9874253273010254	0.6451612710952759	0.2298850566148758
2	0.9352230429649353	0.1919703632593155	0.9923186302185059	0.8264642357826233	0.3642447292804718	0.9186369776725769	0.24584589898586273	0.982808530330658	0.6153846383094788	0.27586206793785095
3	0.950873851776123	0.1512765884399414	0.9933829307556152	0.888529896736145	0.5258126258850098	0.9168984889984131	0.26172342896461487	0.9773844480514526	0.5785714387893677	0.3103448152542114
4	0.9711329340934753	0.09803973883390427	0.9962397813796997	0.9507575631141663	0.7198852896690369	0.9123783111572266	0.3012090027332306	0.9720810651779175	0.5290322303771973	0.3141762316226959
5	0.9849578142166138	0.05627935007214546	0.9985745549201965	0.9833887219429016	0.8489483594894409	0.9064673185348511	0.3698377013206482	0.9648520350456238	0.47727271914482117	0.3218390941619873
6	0.9846100211143494	0.04744168743491173	0.9955378770828247	0.951194167137146	0.875717043876648	0.9061195850372314	0.39108535647392273	0.9625080823898315	0.47593581676483154	0.3409961760044098
7	0.9884358048439026	0.0365804098546505	0.9958347678184509	0.9569569826126099	0.913957953453064	0.9165507555007935	0.4556294083595276	0.9809564352035522	0.586776852607727	0.27203065156936646
8	0.9908703565597534	0.02800586260855198	0.9968565106391907	0.9672293663024902	0.9311663508415222	0.9186369776725769	0.4999213218688965	0.9877796769142151	0.6483516693115234	0.2260536402463913
9	0.9940874576568604	0.018592078238725662	0.9977129697799683	0.9766082167625427	0.9579349756240845	0.9033379554748535	0.4619736671447754	0.9575724005699158	0.4585365951061249	0.3601532578468323
10	0.9971306920051575	0.011791727505624294	0.9992533922195435	0.9922254681587219	0.97609943151474	0.8956884741783142	0.508267343044281	0.9435576796531677	0.42352941632270813	0.4137931168079376
11	0.9978262782096863	0.008871638216078281	0.9990252256393433	0.990393877029419	0.985659658908844	0.9175938963890076	0.5609270930290222	0.9838835597038269	0.6111111044883728	0.25287356972694397
12	0.9985218644142151	0.006433106027543545	0.9995225071907043	0.9951876997947693	0.9885277152061462	0.9151599407196045	0.7522583603858948	0.9927590489387512	0.6545454263687134	0.13793103396892548
13	0.9992174506187439	0.0048080929554998875	0.9996275305747986	0.9961722493171692	0.995219886302948	0.919680118560791	0.6267058253288269	0.9874261021614075	0.65625	0.24137930572032928
14	0.9993044137954712	0.002591942436993122	0.999904215335846	0.9990384578704834	0.9933078289031982	0.910639762878418	0.5828540325164795	0.9705149531364441	0.5126582384109497	0.3103448152542114
15	1.0	0.0005872906767763197	1.0	1.0	1.0	0.9134213924407959	0.6126845479011536	0.9735585451126099	0.5400000214576721	0.3103448152542114
16	1.0	0.00022427874500863254	1.0	1.0	1.0	0.91446453332901	0.6473079919815063	0.9770716428756714	0.5555555820465088	0.28735631704330444
17	1.0	0.0001655561791267246	1.0	1.0	1.0	0.91446453332901	0.6638877391815186	0.9774684309959412	0.5563910007476807	0.28352490067481995
18	1.0	0.00013393734116107225	1.0	1.0	1.0	0.9151599407196045	0.6763675808906555	0.9778450727462769	0.5639097690582275	0.28735631704330444
19	1.0	0.00011153507512062788	1.0	1.0	1.0	0.9151599407196045	0.6873437166213989	0.9778450727462769	0.5639097690582275	0.28735631704330444
20	1.0	9.45505962590687e-05	1.0	1.0	1.0	0.9151599407196045	0.6975439190864563	0.9778450727462769	0.5639097690582275	0.28735631704330444
21	1.0	8.12913931440562e-05	1.0	1.0	1.0	0.9155076742172241	0.7066187262535095	0.9782419204711914	0.5681818127632141	0.28735631704330444
22	1.0	7.05493293935433e-05	1.0	1.0	1.0	0.9151599407196045	0.7153422236442566	0.9778304100036621	0.5639097690582275	0.28735631704330444
23	1.0	6.166457023937255e-05	1.0	1.0	1.0	0.9148122668266296	0.7235727906227112	0.9778304100036621	0.560606062412262	0.28352490067481995
24	1.0	5.4215412092162296e-05	1.0	1.0	1.0	0.9151599407196045	0.7317584753036499	0.9782136082649231	0.5648854970932007	0.28352490067481995
25	1.0	4.791287210537121e-05	1.0	1.0	1.0	0.9151599407196045	0.7394038438796997	0.9782136082649231	0.5648854970932007	0.28352490067481995
26	1.0	4.245169839123264e-05	1.0	1.0	1.0	0.9151599407196045	0.7470206618309021	0.9785967469215393	0.565891444683075	0.27969348430633545
27	1.0	3.774630749830976e-05	1.0	1.0	1.0	0.9151599407196045	0.7544682025909424	0.9785967469215393	0.565891444683075	0.27969348430633545
28	1.0	3.3638971217442304e-05	1.0	1.0	1.0	0.9155076742172241	0.7616861462593079	0.978973388671875	0.5703125	0.27969348430633545
29	1.0	3.0037974283914082e-05	1.0	1.0	1.0	0.9155076742172241	0.7688814997673035	0.978973388671875	0.5703125	0.27969348430633545
30	1.0	2.691362169571221e-05	1.0	1.0	1.0	0.9155076742172241	0.7755727767944336	0.978973388671875	0.5703125	0.27969348430633545
